
1,IC001,1,101,Shirt,25.99,2023-07-01
1,IC001,1,102,Jeans,39.99,2023-07-01
2,IC002,2,103,Socks,5.49,2023-07-02
3,IC003,1,104,Shoes,49.75,2023-07-02
3,IC003,1,105,T-shirt,12.00,2023-07-02
4,IC004,2,106,Hat,9.99,2023-07-03
5,IC005,3,107,Backpack,29.99,2023-07-03
6,IC006,1,108,Shorts,19.99,2023-07-03
7,IC007,2,109,Sandals,15.49,2023-07-04
7,IC007,2,110,Top,24.50,2023-07-04
8,IC008,1,111,Sunglasses,39.99,2023-07-04
9,IC009,3,112,Swimwear,34.75,2023-07-05
9,IC009,3,113,Sunscreen,7.99,2023-07-05
10,IC010,1,114,Hoodie,29.99,2023-07-05
11,IC011,2,115,Cap,12.49,2023-07-06
11,IC011,2,116,Shorts,22.00,2023-07-06
12,IC012,1,117,Tank top,14.99,2023-07-06
13,IC013,3,118,Water bottle,9.75,2023-07-07
13,IC013,3,119,Snacks,4.50,2023-07-07
14,IC014,1,120,Slippers,18.99,2023-07-07
15,IC015,2,121,Dress,45.49,2023-07-08
15,IC015,2,122,Necklace,29.00,2023-07-08
16,IC016,1,123,Shirt,21.99,2023-07-08
17,IC017,3,124,Shorts,16.75,2023-07-09
17,IC017,3,125,Flip-flops,8.99,2023-07-09
18,IC018,1,126,Sweater,32.99,2023-07-09
19,IC019,2,127,Pants,39.49,2023-07-10
19,IC019,2,128,Scarf,18.50,2023-07-10
20,IC020,1,129,Tie,14.99,2023-07-10
21,IC021,3,130,Notebook,4.75,2023-07-11
21,IC021,3,131,Pens,2.99,2023-07-11
22,IC022,1,132,Shirt,19.99,2023-07-11
23,IC023,2,133,Jeans,36.49,2023-07-12
23,IC023,2,134,Socks,5.00,2023-07-12
24,IC024,1,135,Shoes,54.75,2023-07-12
25,IC025,3,136,T-shirt,12.99,2023-07-13
25,IC025,3,137,Hat,7.50,2023-07-13
26,IC026,1,138,Backpack,32.99,2023-07-13
27,IC027,2,139,Shorts,17.49,2023-07-14
27,IC027,2,140,Sandals,14.00,2023-07-14
28,IC028,1,141,Top,24.99,2023-07-14
29,IC029,3,142,Sunglasses,42.75,2023-07-15
29,IC029,3,143,Swimwear,29.99,2023-07-15
30,IC030,1,144,Hoodie,25.49,2023-07-15
31,IC031,2,145,Cap,11.99,2023-07-16
31,IC031,2,146,Shorts,19.50,2023-07-16
32,IC032,1,147,Tank top,12.99,2023-07-16
33,IC033,3,148,Water bottle,8.75,2023-07-17
33,IC033,3,149,Snacks,3.50,2023-07-17
34,IC034,1,150,Slippers,16.99,2023-07-17
35,IC035,2,151,Dress,39.49,2023-07-18
35,IC035,2,152,Necklace,21.00,2023-07-18
36,IC036,1,153,Shirt,18.99,2023-07-18
37,IC037,3,154,Shorts,14.75,2023-07-19
37,IC037,3,155,Flip-flops,7.99,2023-07-19
38,IC038,1,156,Sweater,28.99,2023-07-19
39,IC039,2,157,Pants,32.49,2023-07-20
39,IC039,2,158,Scarf,15.50,2023-07-20
40,IC040,1,159,Tie,12.99,2023-07-20
41,IC041,3,160,Notebook,3.75,2023-07-21
41,IC041,3,161,Pens,1.99,2023-07-21
42,IC042,1,162,Shirt,17.99,2023-07-21
43,IC043,2,163,Jeans,34.49,2023-07-22
43,IC043,2,164,Socks,4.50,2023-07-22
44,IC044,1,165,Shoes,52.75,2023-07-22
45,IC045,3,166,T-shirt,10.99,2023-07-23
45,IC045,3,167,Hat,6.50,2023-07-23
46,IC046,1,168,Backpack,29.99,2023-07-23
47,IC047,2,169,Shorts,15.49,2023-07-24
47,IC047,2,170,Sandals,13.00,2023-07-24
48,IC048,1,171,Top,22.99,2023-07-24
49,IC049,3,172,Sunglasses,39.75,2023-07-25
49,IC049,3,173,Swimwear,27.99,2023-07-25
50,IC050,1,174,Hoodie,24.49,2023-07-25
51,IC051,2,175,Cap,10.99,2023-07-26
51,IC051,2,176,Shorts,18.00,2023-07-26
52,IC052,1,177,Tank top,11.99,2023-07-26
53,IC053,3,178,Water bottle,7.25,2023-07-27
53,IC053,3,179,Snacks,2.50,2023-07-27
54,IC054,1,180,Slippers,15.99,2023-07-27
55,IC055,2,181,Dress,36.49,2023-07-28
55,IC055,2,182,Necklace,19.00,2023-07-28
56,IC056,1,183,Shirt,16.99,2023-07-28
57,IC057,3,184,Shorts,13.75,2023-07-29
57,IC057,3,185,Flip-flops,6.99,2023-07-29
58,IC058,1,186,Sweater,26.99,2023-07-29
59,IC059,2,187,Pants,30.49,2023-07-30
59,IC059,2,188,Scarf,14.50,2023-07-30
60,IC060,1,189,Tie,11.99,2023-07-30
61,IC061,3,190,Notebook,2.75,2023-07-31
61,IC061,3,191,Pens,1.50,2023-07-31
62,IC062,1,192,Shirt,15.99,2023-07-31
63,IC063,2,193,Jeans,32.49,2023-08-01
63,IC063,2,194,Socks,4.00,2023-08-01
64,IC064,1,195,Shoes,49.75,2023-08-01
65,IC065,3,196,T-shirt,10.49,2023-08-02
65,IC065,3,197,Hat,5.50,2023-08-02
66,IC066,1,198,Backpack,28.99,2023-08-02
67,IC067,2,199,Shorts,14.49,2023-08-03
67,IC067,2,200,Sandals,12.00,2023-08-03
68,IC068,1,201,Top,21.99,2023-08-03
69,IC069,3,202,Sunglasses,37.75,2023-08-04
69,IC069,3,203,Swimwear,25.99,2023-08-04
70,IC070,1,204,Hoodie,22.49,2023-08-04
71,IC071,2,205,Cap,9.99,2023-08-05
71,IC071,2,206,Shorts,17.50,2023-08-05
72,IC072,1,207,Tank top,10.99,2023-08-05
73,IC073,3,208,Water bottle,6.75,2023-08-06
73,IC073,3,209,Snacks,2.00,2023-08-06
74,IC074,1,210,Slippers,14.99,2023-08-06
75,IC075,2,211,Dress,33.49,2023-08-07
75,IC075,2,212,Necklace,18.50,2023-08-07
76,IC076,1,213,Shirt,15.49,2023-08-07
77,IC077,3,214,Shorts,12.75,2023-08-08
77,IC077,3,215,Flip-flops,5.99,2023-08-08
78,IC078,1,216,Sweater,24.99,2023-08-08
79,IC079,2,217,Pants,28.49,2023-08-09
79,IC079,2,218,Scarf,13.00,2023-08-09
80,IC080,1,219,Tie,10.99,2023-08-09
81,IC081,3,220,Notebook,2.25,2023-08-10
81,IC081,3,221,Pens,1.25,2023-08-10
82,IC082,1,222,Shirt,14.49,2023-08-10
83,IC083,2,223,Jeans,30.49,2023-08-11
83,IC083,2,224,Socks,3.50,2023-08-11
84,IC084,1,225,Shoes,47.75,2023-08-11
85,IC085,3,226,T-shirt,9.49,2023-08-12
85,IC085,3,227,Hat,4.50,2023-08-12
86,IC086,1,228,Backpack,27.99,2023-08-12
87,IC087,2,229,Shorts,13.99,2023-08-13
87,IC087,2,230,Sandals,11.00,2023-08-13
88,IC088,1,231,Top,20.99,2023-08-13
89,IC089,3,232,Sunglasses,35.75,2023-08-14
89,IC089,3,233,Swimwear,23.99,2023-08-14
90,IC090,1,234,Hoodie,20.49,2023-08-14
91,IC091,2,235,Cap,8.99,2023-08-15
91,IC091,2,236,Shorts,16.50,2023-08-15
92,IC092,1,237,Tank top,9.99,2023-08-15
93,IC093,3,238,Water bottle,5.75,2023-08-16
93,IC093,3,239,Snacks,1.50,2023-08-16
94,IC094,1,240,Slippers,13.99,2023-08-16
95,IC095,2,241,Dress,30.49,2023-08-17
95,IC095,2,242,Necklace,17.00,2023-08-17
96,IC096,1,243,Shirt,13.49,2023-08-17
